IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP24;IP_PROP14;IP_PROP18;IP_PROP19;IP_PROP15;IP_PROP16;IP_PROP35;IP_PROP17;IP_PROP28;IP_PROP25;IP_PROP29;IP_PROP23;IP_PROP32;IP_PROP31;IP_PROP30;IP_PROP45;IP_PROP46;IP_PROP33;IP_PROP34;IC_GROUP0;IC_GROUP1;IC_GROUP2
249;Классическое обручальное кольцо из золота;1797;Y;;;/upload/iblock/8b7/8b728c8a76b5f0470232211d9092fae6.jpg;;text;/upload/iblock/7fd/7fd0081a1ade64cd9827b6430f82a538.jpg;;text;klassicheskoe_obruchalnoe_koltso;500;;110130;;;;Кольца;Красное золото;3.3000;585;;;;/upload/iblock/77f/77f2101d0f3128a8c64f974efb057dd2.jpg;;;;;;1.0000;5.0000;Ювелирные изделия;Кольца;Обручальные
254;Обручальное кольцо из золота с бриллиантами;1798;Y;;;/upload/iblock/046/046cb29a74ca1cc5e9d43f879a6f7688.jpg;;text;/upload/iblock/3a4/3a469eec127543b62c1cb7d4a3d88825.jpg;;text;obruchalnoe_koltso_iz_zolota_s_brilliantami;500;;1239245;;;;Кольца;Красное золото;3.2000;585;;;;;;;;;;1.0000;4.0000;Ювелирные изделия;Кольца;Обручальные
984;Обручальное кольцо из красного золота с бриллиантом;1799;Y;;;/upload/iblock/64e/64ee98e3d8d5cd2298f79e899c02fc01.jpg;;text;/upload/iblock/41e/41e572f1bdba11f08efc7c48ce9f368a.jpg;;text;obruchalnoe_koltso_iz_krasnogo_zolota_s_brilliantom;500;;45698;;да;;Кольца;Красное золото;;585;;;;;;;;;;;;Ювелирные изделия;Кольца;Обручальные
1057;Обручальное кольцо из желтого золота с бриллиантами;1800;Y;;;/upload/iblock/0f5/0f5a16cf8f0785cb6f98306adc2e5143.jpg;;text;/upload/iblock/7ae/7ae43c7abd81e2e28eeea152637107aa.jpg;;text;obruchalnoe_koltso_iz_zheltogo_zolota_s_brilliantami;500;;640001;;;;Кольца;Желтое золото;;585;;;;;;;;;;;;Ювелирные изделия;Кольца;Обручальные
1076;Обручальное кольцо из белого золота с бриллиантами;1801;Y;;;/upload/iblock/9e0/9e04b8a2e6d538bbea7609dbd026550c.jpg;;text;/upload/iblock/73e/73e844040d42503cd30db741820023d8.jpg;;text;obruchalnoe_koltso_iz_belogo_zolota_585_proby_s_brilliantami;500;;300001;;;;Кольца;Белое золото;3.3000;585;;;;;;;;;;1.0000;5.0000;Ювелирные изделия;Кольца;Обручальные
1079;Позолоченное кольцо на 2 пальца;1802;Y;;;/upload/iblock/a2f/a2f88636828f1ca56c9b93bf63b8400f.jpg;;text;/upload/iblock/d67/d674cb3aa1a61588cfd01b531af9faa0.jpg;;text;pozolochennoe_koltso_na_2_paltsa;500;;93010346;;;;Кольца;Золоченое серебро;;925;;;;;;;;;;;;Ювелирные изделия;Кольца;На 2 пальца
1082;Кольцо на два пальца в форме змеи из серебра;1803;Y;;;/upload/iblock/826/826112885e6f642b12fd4bf60d6e8a61.jpg;;text;/upload/iblock/6c3/6c33f63a8bfd819f016c0da6ac23728f.jpg;;text;koltso_na_dva_paltsa_v_forme_zmei_iz_serebra;500;;94011190;;;;Кольца;Серебро;;925;;;;;;;;;;;;Ювелирные изделия;Кольца;На 2 пальца
1085;Кольцо из белого и желтого золота с бриллиантами и кварцевыми вставками;1804;Y;;;/upload/iblock/bae/bae9fcf59dead520624a60ef3e8a5835.jpg;;text;/upload/iblock/53a/53a634ef4261770d0ee9c5956e6b9f7f.jpg;;text;koltso_iz_belogo_i_zheltogo_zolota_s_brilliantami_i_kvartsevymi_vstavkami;500;;467812;;;;Кольца;Желтое золото;;585;;;;;;;;;;;;Ювелирные изделия;Кольца;На 2 пальца
1085;Кольцо из белого и желтого золота с бриллиантами и кварцевыми вставками;1804;Y;;;/upload/iblock/bae/bae9fcf59dead520624a60ef3e8a5835.jpg;;text;/upload/iblock/53a/53a634ef4261770d0ee9c5956e6b9f7f.jpg;;text;koltso_iz_belogo_i_zheltogo_zolota_s_brilliantami_i_kvartsevymi_vstavkami;500;;467812;;;;Кольца;Белое золото;;585;;;;;;;;;;;;Ювелирные изделия;Кольца;На 2 пальца
1090;Кольцо на два пальца из золочёного серебра;1805;Y;;;/upload/iblock/093/093397b5575fd50278fd7cf9d8e2b46b.jpg;;text;/upload/iblock/96e/96e2a9119a59a4592fcbd1f16f61d768.jpg;;text;koltso_na_dva_paltsa_iz_zolochyenogo_serebra;500;;93010332;;;;Кольца;Золоченое серебро;3.2000;925;;;;;;;;;;1.0000;4.0000;Ювелирные изделия;Кольца;На 2 пальца
